source,code,name,brand,normalized_name,unit,packing,size,capacity,price,price_after_promotion,promotion,url,note,crawl_date,product_key
kingfoodmart,thung-bia-4-5-corona-chai-300ml-24-chai-59933,Thùng bia 4.5% Corona chai 300ml (24 Chai),Corona,thung bia 4 5 corona chai 300ml 24 chai,Thùng,24,,300ml,610000,610000,,https://kingfoodmart.com/bia-co-con/thung-bia-4-5-corona-chai-300ml-24-chai-59933,,2025-11-23,CORONA_300ML_24
kingfoodmart,thung-bia-special-sleek-sai-gon-330ml-24-lon,Thùng bia special sleek Sài Gòn 330ml (24 Lon),Sài Gòn,thung bia special sleek sai gon 330ml 24 lon,Thùng,24,,330ml,345000,345000,,https://kingfoodmart.com/bia-co-con/thung-bia-special-sleek-sai-gon-330ml-24-lon,,2025-11-23,SÀIGÒN_330ML_24
kingfoodmart,thung-bia-wheat-4-9-edelweiss-lon-330ml-24-lon-59349,Thùng bia wheat 4.9% Edelweiss lon 330ml (24 Lon),Edelweiss,thung bia wheat 4 9 edelweiss lon 330ml 24 lon,Thùng,24,,330ml,480000,480000,,https://kingfoodmart.com/bia-co-con/thung-bia-wheat-4-9-edelweiss-lon-330ml-24-lon-59349,"Tặng voucher giảm 25K cho đơn rau, thịt cá, trái cây & đồ đông lạnh kế tiếp khi mua 1 thùng bia – Ưu đãi chỉ có online!",2025-11-23,EDELWEISS_330ML_24
kingfoodmart,loc-bia-blanc-5-1664-330ml-6-chai,Lốc bia Blanc 5% 1664 330ml (6 Chai),1664 Blanc,loc bia blanc 5 1664 330ml 6 chai,Chai,6,,330ml,120000,120000,,https://kingfoodmart.com/bia-co-con/loc-bia-blanc-5-1664-330ml-6-chai,,2025-11-23,1664BLANC_330ML_6
kingfoodmart,thung-bia-tiger-soju-cheeky-plum-vi-man-330ml-20-lon,Thùng bia Tiger Soju Cheeky Plum vị mận 330ml (20 Lon),Tiger,thung bia tiger soju cheeky plum vi man 330ml 20 lon,Thùng,20,,330ml,393000,393000,,https://kingfoodmart.com/bia-co-con/thung-bia-tiger-soju-cheeky-plum-vi-man-330ml-20-lon,"Tặng voucher giảm 25K cho đơn rau, thịt cá, trái cây & đồ đông lạnh kế tiếp khi mua 1 thùng bia – Ưu đãi chỉ có online!",2025-11-23,TIGER_330ML_20
kingfoodmart,thung-bia-vang-5-budvar-330ml-24-lon,Thùng bia vàng 5% Budvar 330ml (24 Lon),,thung bia vang 5 budvar 330ml 24 lon,Thùng,24,,330ml,850000,850000,,https://kingfoodmart.com/bia-co-con/thung-bia-vang-5-budvar-330ml-24-lon,,2025-11-23,330ML_24
kingfoodmart,loc-bia-red-horse-8-san-miguel-500ml-4-lon,Lốc bia Red Horse 8% San Miguel 500ml (4 Lon),San Miguel,loc bia red horse 8 san miguel 500ml 4 lon,Lon,4,,500ml,96000,96000,,https://kingfoodmart.com/bia-co-con/loc-bia-red-horse-8-san-miguel-500ml-4-lon,,2025-11-23,SANMIGUEL_500ML_4
kingfoodmart,thung-bia-special-4-6-larue-330ml-24-lon,Thùng bia special 4.6% Larue 330ml (24 lon),Larue,thung bia special 4 6 larue 330ml 24 lon,Thùng,24,,330ml,268000,268000,,https://kingfoodmart.com/bia-co-con/thung-bia-special-4-6-larue-330ml-24-lon,,2025-11-23,LARUE_330ML_24
kingfoodmart,thung-bia-chill-4-6-saigon-330ml-24-lon,Thùng bia Chill 4.6% Saigon 330ml (24 Lon),Chill,thung bia chill 4 6 saigon 330ml 24 lon,Thùng,24,,330ml,389000,389000,,https://kingfoodmart.com/bia-co-con/thung-bia-chill-4-6-saigon-330ml-24-lon,,2025-11-23,CHILL_330ML_24
kingfoodmart,thung-bia-5-chang-320ml-24-chai,Thùng bia 5% Chang 320ml (24 chai),Chang,thung bia 5 chang 320ml 24 chai,Thùng,24,,320ml,465000,465000,,https://kingfoodmart.com/bia-co-con/thung-bia-5-chang-320ml-24-chai,,2025-11-23,CHANG_320ML_24
kingfoodmart,loc-bia-5-budweiser-500ml-4-lon,Lốc bia 5% Budweiser 500ml (4 lon),Budweiser,loc bia 5 budweiser 500ml 4 lon,Lon,4,,500ml,128000,128000,,https://kingfoodmart.com/bia-co-con/loc-bia-5-budweiser-500ml-4-lon,,2025-11-23,BUDWEISER_500ML_4
