source,code,name,brand,normalized_name,unit,packing,size,capacity,price,price_after_promotion,promotion,url,note,crawl_date,product_key
lottemart,5410228149699,Thùng 24 Chai Bia Hoegaarden White 4.9% ABV 330ml,Hoegaarden,thung 24 chai bia hoegaarden white 4 9 abv 330ml,Thùng,24,,330ml,768000,768000,,https://www.lottemart.vn/vi-nsg/product/bia-hoegaarden-330ml-thung-24-chai-5410228149699-p11171,,2025-11-22,HOEGAARDEN_330ML_24
lottemart,8934822223014,Thùng 24 Lon Bia Việt 4.3% ABV 330ml,Bia Việt,thung 24 lon bia viet 4 3 abv 330ml,Thùng,24,,330ml,280800,280800,,https://www.lottemart.vn/vi-nsg/product/bia-viet-beer-4-3-abv-330ml-x-24-cans-8934822223014-p10695,,2025-11-22,BIAVIỆT_330ML_24
lottemart,5412176000053,"Bia Sứ St. Sebastiaan Grand Cru 7,5% Vol Chai 500ml",St. Sebastiaan,bia su st sebastiaan grand cru 7 5 vol chai 500ml,Chai,1,,500ml,279000,279000,,https://www.lottemart.vn/vi-nsg/product/bia-su-st-sebastiaan-grand-cru-7-5-vol-chai-500ml-5412176000053-p10688,,2025-11-22,ST.SEBASTIAAN_500ML_1
lottemart,carlsberg,Thùng 24 Lon Bia Carlsberg Pilsner 5% ABV 330ml,Carlsberg,thung 24 lon bia carlsberg pilsner 5 abv 330ml,Thùng,24,,330ml,456000,456000,,https://www.lottemart.vn/vi-nsg/product/carlsberg-pilsner-beer-5-abv-330ml-pack-of-24-cans-8934692020072-p10652,,2025-11-22,CARLSBERG_330ML_24
lottemart,8936000440039,Bia Hà Nội 4.6% ABV Lon 330ml,Hà Nội,bia ha noi 4 6 abv lon 330ml,Lon,4,,330ml,11500,11500,,https://www.lottemart.vn/vi-nsg/product/lc-bia-hanoi-lon-330ml-8936000440039-p4663,,2025-11-22,HÀNỘI_330ML_4
lottemart,8936036202458,Bia Hoegaarden Rosée 3% ABV Lon 250ml,Hoegaarden,bia hoegaarden rosee 3 abv lon 250ml,Lon,1,,250ml,16500,14500,12%,https://www.lottemart.vn/vi-nsg/product/bia-hoegaarden-rosee-lon-250ml-8936036202458-p233879,,2025-11-22,HOEGAARDEN_250ML_1
lottemart,8934822363574,Lốc 6 Lon Thức Uống Đại Mạch Heineken 0.0% Độ Cồn 250ml,Heineken,loc 6 lon thuc uong ai mach heineken 0 0 o con 250ml,Lon,6,,250ml,81000,72000,11%,https://www.lottemart.vn/vi-nsg/product/t-uong-d-mach-heineken-250ml-8934822363574-p233878,Mua 1 tặng 1 Heineken,2025-11-22,HEINEKEN_250ML_6
lottemart,8936036202434,Bia Hoegaarden White 4.9% ABV Lon 250ml,Hoegaarden,bia hoegaarden white 4 9 abv lon 250ml,Lon,4,,250ml,16500,14500,12%,https://www.lottemart.vn/vi-nsg/product/bia-hoegaarden-white-lon-250ml-8936036202434-p233858,,2025-11-22,HOEGAARDEN_250ML_4
lottemart,8934692090051,Bia 1664 Blanc 5% ABV Lon 250ml,1664 Blanc,bia 1664 blanc 5 abv lon 250ml,Lon,1,,250ml,11900,10900,8%,https://www.lottemart.vn/vi-nsg/product/bia-blanc-1664-lon-250ml-8934692090051-p233854,,2025-11-22,1664BLANC_250ML_1
lottemart,8935012442581,Bia Sài Gòn Chill 4.6% ABV Lon 250ml,Sài Gòn,bia sai gon chill 4 6 abv lon 250ml,Lon,4,,250ml,11500,11500,,https://www.lottemart.vn/vi-nsg/product/bia-saigon-chill-250ml-8935012442581-p233513,,2025-11-22,SÀIGÒN_250ML_4
lottemart,8934822361273,Thức Uống Đại Mạch Heineken 0.0% Độ Cồn Lon 250ml,Heineken,thuc uong ai mach heineken 0 0 o con lon 250ml,Lon,1,,250ml,13500,12000,11%,https://www.lottemart.vn/vi-nsg/product/t-uong-d-mach-heineken-250ml-8934822361273-p231926,,2025-11-22,HEINEKEN_250ML_1
lottemart,8935337000046,Bia Ngũ Hành Thổ 4.9% ABV Chai 330ml,Ngũ Hành,bia ngu hanh tho 4 9 abv chai 330ml,Chai,4,,330ml,51900,51900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-tho-chai-330ml-8935337000046-p231187,,2025-11-22,NGŨHÀNH_330ML_4
lottemart,8935337000022,Bia Ngũ Hành Thủy 5.2% ABV Chai 330ml,Ngũ Hành,bia ngu hanh thuy 5 2 abv chai 330ml,Chai,1,,330ml,56900,56900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-thuy-chai-330ml-8935337000022-p231186,,2025-11-22,NGŨHÀNH_330ML_1
lottemart,8935337000190,Bia Ngũ Hành Thổ 4.9% ABV Lon 330ml,Ngũ Hành,bia ngu hanh tho 4 9 abv lon 330ml,Lon,4,,330ml,48900,48900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-tho-330ml-8935337000190-p231185,,2025-11-22,NGŨHÀNH_330ML_4
lottemart,8935337000152,Bia Ngũ Hành Kim 4.6% ABV Lon 330ml,Ngũ Hành,bia ngu hanh kim 4 6 abv lon 330ml,Lon,4,,330ml,49900,49900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-kim-330ml-8935337000152-p231181,,2025-11-22,NGŨHÀNH_330ML_4
lottemart,8935337000015,Bia Ngũ Hành Kim 4.6% ABV Chai 330ml,Ngũ Hành,bia ngu hanh kim 4 6 abv chai 330ml,Chai,4,,330ml,51900,51900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-kim-chai-330ml-8935337000015-p231180,,2025-11-22,NGŨHÀNH_330ML_4
lottemart,8935337000176,Bia Ngũ Hành Mộc 5.2% ABV Lon 330ml,Ngũ Hành,bia ngu hanh moc 5 2 abv lon 330ml,Lon,1,,330ml,50900,50900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-moc-330ml-8935337000176-p231179,,2025-11-22,NGŨHÀNH_330ML_1
lottemart,8935337000169,Bia Ngũ Hành Thủy 5.2% ABV Lon 330ml,Ngũ Hành,bia ngu hanh thuy 5 2 abv lon 330ml,Lon,1,,330ml,52900,52900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-thuy-330ml-8935337000169-p231177,,2025-11-22,NGŨHÀNH_330ML_1
lottemart,8935337000008,Bia Ngũ Hành Mộc 5.2% ABV Chai 330ml,Ngũ Hành,bia ngu hanh moc 5 2 abv chai 330ml,Chai,1,,330ml,54900,54900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-moc-chai-330ml-8935337000008-p231176,,2025-11-22,NGŨHÀNH_330ML_1
lottemart,8935337000039,Bia Ngũ Hành Hỏa 6.8% ABV Chai 330ml,Ngũ Hành,bia ngu hanh hoa 6 8 abv chai 330ml,Chai,6,,330ml,62900,62900,,https://www.lottemart.vn/vi-nsg/product/bia-ngu-hanh-hoa-chai-330ml-8935337000039-p231170,,2025-11-22,NGŨHÀNH_330ML_6
lottemart,8935012400116,Bia Lạc Việt 4.3% ABV Lon 330ml,Lạc Việt,bia lac viet 4 3 abv lon 330ml,Lon,4,,330ml,11000,11000,,https://www.lottemart.vn/vi-nsg/product/bia-lac-viet-sleek-330ml-8935012400116-p230780,,2025-11-22,LẠCVIỆT_330ML_4
lottemart,6915878224219,Bia Corona Extra 4.5% ABV Chai 250ml,Corona,bia corona extra 4 5 abv chai 250ml,Chai,4,,250ml,23900,23900,,https://www.lottemart.vn/vi-nsg/product/bia-corona-extra-chai-250ml-6915878224219-p230183,,2025-11-22,CORONA_250ML_4
lottemart,8934822411213,Bia Larue Smooth 4.5% ABV Lon 330ml,Larue,bia larue smooth 4 5 abv lon 330ml,Lon,4,,330ml,12000,12000,,https://www.lottemart.vn/vi-nsg/product/bia-larua-smooth-lon-330ml-8934822411213-p229598,,2025-11-22,LARUE_330ML_4
lottemart,8934822123253,Bia Tiger 5% ABV Lon 250ml,Tiger,bia tiger 5 abv lon 250ml,Lon,1,,250ml,11500,11500,,https://www.lottemart.vn/vi-nsg/product/bia-tiger-lon-250-ml-8934822123253-p226127,,2025-11-22,TIGER_250ML_1
lottemart,8936094291500,Bia Budweiser 5% ABV Lon 250ml,Budweiser,bia budweiser 5 abv lon 250ml,Lon,1,,250ml,14000,14000,,https://www.lottemart.vn/vi-nsg/product/st-bia-budweiser-lon-250ml-8936094291500-p224464,,2025-11-22,BUDWEISER_250ML_1
lottemart,8934822912338,Bia Larue 4.2% ABV Lon 330ml,Larue,bia larue 4 2 abv lon 330ml,Lon,4,,330ml,11000,11000,,https://www.lottemart.vn/vi-nsg/product/larue-4-2-abv-beer-330ml-8934822912338-p221832,,2025-11-22,LARUE_330ML_4
lottemart,333,Bia 333 Pilsner Extra Smooth 4.3% ABV Lon 330ml,333,bia 333 pilsner extra smooth 4 3 abv lon 330ml,Lon,1,,330ml,13800,13200,4.35%,https://www.lottemart.vn/vi-nsg/product/bia-333-pilsner-extra-smooth-330ml-8935012443397-p221042,,2025-11-22,333_330ML_1
lottemart,6915878224202,Thùng 24 Bia Corona Extra 4.5% ABV Chai 300ml,Corona,thung 24 bia corona extra 4 5 abv chai 300ml,Thùng,24,,300ml,597600,566400,5%,https://www.lottemart.vn/vi-nsg/product/bia-corona-extra-chai-300ml-6915878224202-p88124,,2025-11-22,CORONA_300ML_24
lottemart,5412652001017,Bia Bỉ Cherie Framboise 3.5% ABV Chai 330ml,Cherie,bia bi cherie framboise 3 5 abv chai 330ml,Chai,1,,330ml,124500,124500,,https://www.lottemart.vn/vi-nsg/product/bia-bi-cherie-framboise-330ml-5412652001017-p70664,,2025-11-22,CHERIE_330ML_1
lottemart,8934692040056,Bia Lager Tuborg Ice 4.3% ABV Lon 330ml,Tuborg,bia lager tuborg ice 4 3 abv lon 330ml,Lon,4,,330ml,16500,16500,,https://www.lottemart.vn/vi-nsg/product/bia-lager-tuborg-ice-4-3-abv-lon-330ml-8934692040056-p59296,,2025-11-22,TUBORG_330ML_4
lottemart,8934822401214,Bia Larue Smooth 4.5% ABV Lon 330ml,Larue,bia larue smooth 4 5 abv lon 330ml,Lon,4,,330ml,12000,12000,,https://www.lottemart.vn/vi-nsg/product/larue-smooth-4-5-abv-beer-330ml-8934822401214-p59287,,2025-11-22,LARUE_330ML_4
lottemart,sapporo,Thùng 12 Lon Bia Sapporo Premium 5% ABV 500Ml,Sapporo,thung 12 lon bia sapporo premium 5 abv 500ml,Thùng,12,,500ml,378000,378000,,https://www.lottemart.vn/vi-nsg/product/bia-sapporo-premium-lon-500ml-8936061260430-p40616,,2025-11-22,SAPPORO_500ML_12
lottemart,4061700103008,Bia Đức Sanwald Hefe 4.9% ABV Chai 500ml,Sanwald,bia uc sanwald hefe 4 9 abv chai 500ml,Chai,4,,500ml,109000,109000,,https://www.lottemart.vn/vi-nsg/product/bia-sanwald-hefeweizen-500ml-4061700103008-p30559,,2025-11-22,SANWALD_500ML_4
lottemart,8936036201253,Thùng 24 Lon Bia Hoegaarden White 4.9% 330ml,Hoegaarden,thung 24 lon bia hoegaarden white 4 9 330ml,Thùng,24,,330ml,679200,679200,,https://www.lottemart.vn/vi-nsg/product/thung-24-lon-bia-hoegaarden-330ml-lon-8936036201253-p11161,,2025-11-22,HOEGAARDEN_330ML_24
lottemart,8936036201611,Thùng 24 Chai Bia Hoegaarden Rosee 3.3% ABV 248ml,Hoegaarden,thung 24 chai bia hoegaarden rosee 3 3 abv 248ml,Thùng,24,,248ml,489600,489600,,https://www.lottemart.vn/vi-nsg/product/thung-24-chai-bia-hoegaarden-rosee-248ml-8936036201611-p10556,,2025-11-22,HOEGAARDEN_248ML_24
lottemart,8936036201314,Lốc 6 Lon Bia Hoegaarden White 4.9% ABV 330ml,Hoegaarden,loc 6 lon bia hoegaarden white 4 9 abv 330ml,Lon,6,,330ml,169800,169800,,https://www.lottemart.vn/vi-nsg/product/loc-6-lon-bia-hoegaarden-white-330ml-8936036201314-p11432,,2025-11-22,HOEGAARDEN_330ML_6
lottemart,8934772286046,Lốc 6 Lon Bia Trái Cây San Miguel Vị Vải 3% ABV Lon 330ml,San Miguel,loc 6 lon bia trai cay san miguel vi vai 3 abv lon 330ml,Lon,6,,330ml,113400,113400,,https://www.lottemart.vn/vi-nsg/product/loc-6-lon-bia-trai-cay-san-miguel-vi-vai-lon-330ml-8934772286046-p10694,,2025-11-22,SANMIGUEL_330ML_6
lottemart,8935012413345,Bia Sài Gòn Export 4.9% ABV Lon 330ml,Sài Gòn,bia sai gon export 4 9 abv lon 330ml,Lon,4,,330ml,11500,11500,,https://www.lottemart.vn/vi-nsg/product/bia-sai-gon-export-lon-330ml-8935012413345-p11223,,2025-11-22,SÀIGÒN_330ML_4
lottemart,8934692040063,Lốc 6 Lon Bia Tuborg 4.6% ABV 330ml,Tuborg,loc 6 lon bia tuborg 4 6 abv 330ml,Lon,6,,330ml,90000,90000,,https://www.lottemart.vn/vi-nsg/product/tuborg-beer-4-6-abv-330ml-x-6-cans-8934692040063-p10599,,2025-11-22,TUBORG_330ML_6
lottemart,8992756534187,Bia Đen San Miguel Cerveza Negra Lon 330ml,San Miguel,bia en san miguel cerveza negra lon 330ml,Lon,1,,330ml,27500,27500,,https://www.lottemart.vn/vi-nsg/product/bia-den-san-miguel-cerveza-negra-lon-330ml-8992756534187-p10452,,2025-11-22,SANMIGUEL_330ML_1
lottemart,8934772285094,Bia Trái Cây Vị Vải San Miguel 3% ABV Lon 330ml,San Miguel,bia trai cay vi vai san miguel 3 abv lon 330ml,Lon,1,,330ml,18900,18900,,https://www.lottemart.vn/vi-nsg/product/bia-trai-cay-vi-vai-san-miguel-lon-330ml-8934772285094-p10856,,2025-11-22,SANMIGUEL_330ML_1
lottemart,8936036201604,Bia Hoegaarden Rosee 3.3% ABV Chai 248ml,Hoegaarden,bia hoegaarden rosee 3 3 abv chai 248ml,Chai,1,,248ml,20400,20400,,https://www.lottemart.vn/vi-nsg/product/bia-hoegaaden-rosee-chai-248ml-8936036201604-p10808,,2025-11-22,HOEGAARDEN_248ML_1
lottemart,sapporo,Bia Sapporo Premium Lon 5% ABV 650ml,Sapporo,bia sapporo premium lon 5 abv 650ml,Lon,1,,650ml,71000,71000,,https://www.lottemart.vn/vi-nsg/product/bia-sapporo-premium-lon-650ml-8936061260331-p11462,,2025-11-22,SAPPORO_650ML_1
