source,code,name,brand,normalized_name,unit,packing,size,capacity,price,price_after_promotion,promotion,url,note,crawl_date,product_key
megamarket,,"Bia Hoegaarden White, lốc 6 lon, 330ml",Hoegaarden,bia hoegaarden white loc 6 lon 330ml,Lon,6,,330ml,169000,169000,,https://online.mmvietnam.com/product/bia-hoegaarden-white-loc-6-lon-330ml.html,,2025-11-22,HOEGAARDEN_330ML_6
megamarket,,"Bia Hoegaarden White, lốc 6 chai, 330ml",Hoegaarden,bia hoegaarden white loc 6 chai 330ml,Chai,6,,330ml,192000,192000,,https://online.mmvietnam.com/product/bia-hoegaarden-white-loc-6-chai-330ml.html,,2025-11-22,HOEGAARDEN_330ML_6
megamarket,,"Bia Hoegaarden White, thùng 24 chai, 330ml",Hoegaarden,bia hoegaarden white thung 24 chai 330ml,Thùng,24,,330ml,751000,751000,,https://online.mmvietnam.com/product/bia-hoegaarden-white-thung-24-chai-330ml.html,Mua từ 3 giảm 2%,2025-11-22,HOEGAARDEN_330ML_24
megamarket,,"Bia Hoegaarden Rosee, thùng 24 chai, 248ml",Hoegaarden,bia hoegaarden rosee thung 24 chai 248ml,Thùng,24,,248ml,459000,459000,,https://online.mmvietnam.com/product/bia-hoegaarden-rosee-thung-24-chai-248ml-413040.html,Mua từ 3 giảm 1.99%,2025-11-22,HOEGAARDEN_248ML_24
megamarket,,"Bia Tiger Sleek, thùng 24 lon, 330ml",Tiger,bia tiger sleek thung 24 lon 330ml,Thùng,24,,330ml,370000,370000,,https://online.mmvietnam.com/product/bia-tiger-sleek-thung-24-lon-330ml.html,,2025-11-22,TIGER_330ML_24
megamarket,,"Bia hơi Hà Nội, thùng 24 lon, 500ml",Hà Nội,bia hoi ha noi thung 24 lon 500ml,Thùng,24,,500ml,379900,379900,,https://online.mmvietnam.com/product/bia-hoi-ha-noi-thung-24-lon-500ml.html,Mua từ 3 giảm 1.98%,2025-11-22,HÀNỘI_500ML_24
megamarket,,"Bia Larue Special, lốc 6 lon, 330ml",Larue,bia larue special loc 6 lon 330ml,Lon,6,,330ml,67000,67000,,https://online.mmvietnam.com/product/bia-larue-special-loc-6-lon-330ml.html,Mua từ 3 giảm 1.95%,2025-11-22,LARUE_330ML_6
megamarket,,"Bia Sài Gòn Export Premium, lốc 6 lon, 330ml",Sài Gòn,bia sai gon export premium loc 6 lon 330ml,Lon,6,,330ml,69000,69000,,https://online.mmvietnam.com/product/bia-sai-gon-export-premium-loc-6-lon-330ml.html,,2025-11-22,SÀIGÒN_330ML_6
megamarket,,"Bia Carsberg Pilsner, thùng 24 lon, 330ml",Carlsberg,bia carsberg pilsner thung 24 lon 330ml,Thùng,24,,330ml,443000,443000,,https://online.mmvietnam.com/product/bia-carsberg-pilsner-thung-24-lon-330ml.html,Mua từ 3 giảm 1.99%,2025-11-22,CARLSBERG_330ML_24
megamarket,,"Bia Tiger Sleek, lốc 6 lon, 330ml",Tiger,bia tiger sleek loc 6 lon 330ml,Lon,6,,330ml,94000,89000,5%,https://online.mmvietnam.com/product/bia-tiger-sleek-loc-6-lon-330ml-lon.html,,2025-11-22,TIGER_330ML_6
megamarket,,"Bia Heineken Silver, lốc 6 lon, 330ml",Heineken,bia heineken silver loc 6 lon 330ml,Lon,6,,330ml,116000,112000,3%,https://online.mmvietnam.com/product/bia-heineken-silver-330ml-6lon.html,,2025-11-22,HEINEKEN_330ML_6
megamarket,,"Bia Sapporo Premium Silver, lốc 6 lon, 330ml",Sapporo,bia sapporo premium silver loc 6 lon 330ml,Lon,6,,330ml,111000,111000,,https://online.mmvietnam.com/product/bia-sapporo-premium-silver-loc-6-lon-330ml.html,,2025-11-22,SAPPORO_330ML_6
megamarket,,"Nước trái cây lên men Strongbow kiwi thanh long, thùng 24 chai, 33CL",Strongbow,nuoc trai cay len men strongbow kiwi thanh long thung 24 chai 33cl,Thùng,24,,33cl,409000,389000,5%,https://online.mmvietnam.com/product/nuoc-trai-cay-len-men-strongbow-kiwi-thanh-long-thung-24-chai-33cl.html,,2025-11-22,STRONGBOW_33CL_24
megamarket,,"Nước trái cây lên men Strongbow thơm lựu, thùng 24 lon, 32CL",Strongbow,nuoc trai cay len men strongbow thom luu thung 24 lon 32cl,Thùng,24,,32cl,419000,419000,,https://online.mmvietnam.com/product/nuoc-trai-cay-len-men-strongbow-thom-luu-thung-24-lon-32cl.html,,2025-11-22,STRONGBOW_32CL_24
megamarket,,"Nước trái cây lên men Strongbow kiwi, thùng 24 lon, 32CL",Strongbow,nuoc trai cay len men strongbow kiwi thung 24 lon 32cl,Thùng,24,,32cl,419000,419000,,https://online.mmvietnam.com/product/nuoc-trai-cay-len-men-strongbow-kiwi-thung-24-lon-32cl.html,,2025-11-22,STRONGBOW_32CL_24
megamarket,,"Nước táo lên men Strongbow dâu đen, thùng 24 chai, 33CL",Strongbow,nuoc tao len men strongbow dau en thung 24 chai 33cl,Thùng,24,,33cl,419000,419000,,https://online.mmvietnam.com/product/nuoc-tao-len-men-strongbow-dau-den-thung-24-lon-320ml.html,Mua từ 3 giảm 1.99%,2025-11-22,STRONGBOW_33CL_24
megamarket,,"Nước táo lên men Strongbow táo, thùng 24 lon, 33CL",Strongbow,nuoc tao len men strongbow tao thung 24 lon 33cl,Thùng,24,,33cl,419000,419000,,https://online.mmvietnam.com/product/nuoc-tao-len-men-strongbow-tao-thung-24-lon-320ml.html,Mua từ 3 giảm 1.99%,2025-11-22,STRONGBOW_33CL_24
megamarket,,"Bia Tiger Soju Plum, lốc 6 lon, 330ml",Tiger,bia tiger soju plum loc 6 lon 330ml,Lon,6,,330ml,115000,115000,,https://online.mmvietnam.com/product/bia-tiger-soju-plum-330ml.html,,2025-11-22,TIGER_330ML_6
megamarket,,"Bia Tiger Soju Melon, lốc 6 lon, 330ml",Tiger,bia tiger soju melon loc 6 lon 330ml,Lon,6,,330ml,115000,115000,,https://online.mmvietnam.com/product/bia-tiger-soju-melon-330ml.html,,2025-11-22,TIGER_330ML_6
megamarket,,"Bia Tiger Soju Plum, thùng 20 lon, 330ml",Tiger,bia tiger soju plum thung 20 lon 330ml,Thùng,20,,330ml,384000,384000,,https://online.mmvietnam.com/product/bia-tiger-soju-platium-thung-20-lon-330ml.html,Mua từ 3 giảm 1.98%,2025-11-22,TIGER_330ML_20
megamarket,,"Bia Tiger Soju Melon, thùng 20 lon, 330ml",Tiger,bia tiger soju melon thung 20 lon 330ml,Thùng,20,,330ml,384000,384000,,https://online.mmvietnam.com/product/bia-tiger-soju-melon-thung-20-lon-330ml.html,Mua từ 3 giảm 1.98%,2025-11-22,TIGER_330ML_20
megamarket,,"Bia Hoegaarden Rosee, lốc 6 chai, 248ml",Hoegaarden,bia hoegaarden rosee loc 6 chai 248ml,Chai,6,,248ml,116000,116000,,https://online.mmvietnam.com/product/bia-hoegaarden-rosee-loc-6-chai-248ml-413113.html,,2025-11-22,HOEGAARDEN_248ML_6
megamarket,,"Bia Sài Gòn chill, lốc 6 lon, 330ml",Sài Gòn,bia sai gon chill loc 6 lon 330ml,Lon,6,,330ml,100000,100000,,https://online.mmvietnam.com/product/bia-sai-gon-chill-loc-6-lon-330ml.html,Mua từ 3 giảm 2%,2025-11-22,SÀIGÒN_330ML_6
megamarket,,"Bia Heineken, lốc 6 lon, 330ml",Heineken,bia heineken loc 6 lon 330ml,Lon,6,,330ml,112000,112000,,https://online.mmvietnam.com/product/bia-heineken-330ml-6lon.html,,2025-11-22,HEINEKEN_330ML_6
megamarket,,"Bia Sapporo Silver Can, lốc 6 lon, 650ml",Sapporo,bia sapporo silver can loc 6 lon 650ml,Lon,6,,650ml,421000,375000,11%,https://online.mmvietnam.com/product/bia-sapporo-silver-can-loc-6-lon-650ml.html,,2025-11-22,SAPPORO_650ML_6
megamarket,,"Nước táo lên men Strongbow dâu đen, lốc 6 lon, 32CL",Strongbow,nuoc tao len men strongbow dau en loc 6 lon 32cl,Lon,6,,32cl,106000,106000,,https://online.mmvietnam.com/product/nuoc-tao-len-men-strongbow-dau-den-loc-6-lon-32cl.html,Mua từ 3 giảm 1.99%,2025-11-22,STRONGBOW_32CL_6
megamarket,,"Nước táo lên men Strongbow dâu đỏ, lốc 6 lon, 32CL",Strongbow,nuoc tao len men strongbow dau o loc 6 lon 32cl,Lon,6,,32cl,106000,106000,,https://online.mmvietnam.com/product/nuoc-tao-len-men-strongbow-dau-do-loc-6-lon-32cl.html,Mua từ 3 giảm 1.99%,2025-11-22,STRONGBOW_32CL_6
megamarket,,"Nước táo lên men Strongbow dâu đỏ, thùng 24 lon, 33CL",Strongbow,nuoc tao len men strongbow dau o thung 24 lon 33cl,Thùng,24,,33cl,419000,419000,,https://online.mmvietnam.com/product/nuoc-tao-len-men-strongbow-dau-do-thung-24-lon-320ml.html,,2025-11-22,STRONGBOW_33CL_24
megamarket,,"Bia East West Summer, thùng 12 lon, 330ml",East West,bia east west summer thung 12 lon 330ml,Thùng,12,,330ml,489000,489000,,https://online.mmvietnam.com/product/bia-east-west-summer-thung-12-lon-330ml.html,,2025-11-22,EASTWEST_330ML_12
megamarket,,"Chill Cocktail Light Mix, lốc 6 lon, 330ml",Chill,chill cocktail light mix loc 6 lon 330ml,Lon,6,,330ml,145000,145000,,https://online.mmvietnam.com/product/chill-cocktail-light-mix-loc-6-lon-330ml.html,Mua từ 3 giảm 2.07%,2025-11-22,CHILL_330ML_6
megamarket,,"Bia Corona Extra, lốc 6 chai, 300ml",Corona,bia corona extra loc 6 chai 300ml,Chai,6,,300ml,151000,151000,,https://online.mmvietnam.com/product/bia-corona-extra-loc-6-chai-300ml.html,,2025-11-22,CORONA_300ML_6
megamarket,,"Bia 1664 Blanc, lốc 6 lon, 330ml",1664 Blanc,bia 1664 blanc loc 6 lon 330ml,Lon,6,,330ml,102000,102000,,https://online.mmvietnam.com/product/bia-1664-blanc-loc-6-lon-330ml.html,,2025-11-22,1664BLANC_330ML_6
megamarket,,"Bia Budweiser, lốc 6 lon, 500ml",Budweiser,bia budweiser loc 6 lon 500ml,Lon,6,,500ml,178000,178000,,https://online.mmvietnam.com/product/bia-budweiser-loc-6-lon-500ml-413091.html,,2025-11-22,BUDWEISER_500ML_6
megamarket,,"Bia Hoegaarden White, thùng 24 lon, 330ml",Hoegaarden,bia hoegaarden white thung 24 lon 330ml,Thùng,24,,330ml,678000,678000,,https://online.mmvietnam.com/product/bia-hoegaarden-white-thung-24-lon-330ml.html,Mua từ 3 giảm 2%,2025-11-22,HOEGAARDEN_330ML_24
megamarket,,"Bia Budweiser, thùng 12 lon, 500ml",Budweiser,bia budweiser thung 12 lon 500ml,Thùng,12,,500ml,299000,299000,,https://online.mmvietnam.com/product/2-bia-budweiser-thung-12-lon-500ml.html,Mua từ 3 giảm 1.99%,2025-11-22,BUDWEISER_500ML_12
megamarket,,"Bia Budweiser Aluminum, thùng 24 lon, 355ml",Budweiser,bia budweiser aluminum thung 24 lon 355ml,Thùng,24,,355ml,1029000,1029000,,https://online.mmvietnam.com/product/bia-budweiser-aluminum-thung-24-lon-355ml.html,Mua từ 3 giảm 2%,2025-11-22,BUDWEISER_355ML_24
megamarket,,"Bia Red Horse, thùng 12 lon, 500ml",Red Horse,bia red horse thung 12 lon 500ml,Thùng,12,,500ml,299000,299000,,https://online.mmvietnam.com/product/bia-red-horse-thung-12-lon-500ml.html,Mua từ 3 giảm 2.01%,2025-11-22,REDHORSE_500ML_12
megamarket,,"Bia San Miguel Blanca, thùng 24 lon, 490ml",1664 Blanc,bia san miguel blanca thung 24 lon 490ml,Thùng,24,,490ml,999000,999000,,https://online.mmvietnam.com/product/bia-san-miguel-blanca-thung-24-lon-490ml.html,Mua từ 3 giảm 2.01%,2025-11-22,1664BLANC_490ML_24
megamarket,,"Bia Sapporo Premium 100, lốc 6 lon, 330ml",Sapporo,bia sapporo premium 100 loc 6 lon 330ml,Lon,6,,330ml,117000,117000,,https://online.mmvietnam.com/product/bia-sapporo-pre-100-loc-6-lon-330ml.html,Mua từ 3 giảm 1.97%,2025-11-22,SAPPORO_330ML_6
megamarket,,"Bia Sapporo Premium 100, thùng 24 lon, 330ml",Sapporo,bia sapporo premium 100 thung 24 lon 330ml,Thùng,24,,330ml,464000,464000,,https://online.mmvietnam.com/product/bia-sapporo-pre-100-thung-24-lon-330ml.html,Mua từ 3 giảm 1.99%,2025-11-22,SAPPORO_330ML_24
megamarket,,"Bia Saigon Special Sleek, lốc 6 lon, 330ml",,bia saigon special sleek loc 6 lon 330ml,Lon,6,,330ml,83000,83000,,https://online.mmvietnam.com/product/bia-saigon-special-sleek-loc-6-lon-330ml.html,,2025-11-22,330ML_6
megamarket,,"Bia Far East Ipa, thùng 12 lon, 330ml",,bia far east ipa thung 12 lon 330ml,Thùng,12,,330ml,529000,529000,,https://online.mmvietnam.com/product/bia-far-east-ipa-thung-12-lon-330ml.html,Mua từ 3 giảm 1.99%,2025-11-22,330ML_12
megamarket,,"Bia East West Pale Ale, thùng 12 lon, 330ml",East West,bia east west pale ale thung 12 lon 330ml,Thùng,12,,330ml,495000,495000,,https://online.mmvietnam.com/product/bia-east-west-pale-ale-thung-12-lon-330ml.html,Mua từ 3 giảm 2.03%,2025-11-22,EASTWEST_330ML_12
megamarket,,"Bia Sapporo Premium, thùng 12 lon, 500ml",Sapporo,bia sapporo premium thung 12 lon 500ml,Thùng,12,,500ml,355000,355000,,https://online.mmvietnam.com/product/bia-sapporo-premium-thung-12-lon-500ml.html,Mua từ 3 giảm 2%,2025-11-22,SAPPORO_500ML_12
megamarket,,"Bia Larue, lốc 6 lon, 330ml",Larue,bia larue loc 6 lon 330ml,Lon,6,,330ml,66500,66500,,https://online.mmvietnam.com/product/bia-larue-loc-6-lon-330ml.html,Mua từ 3 giảm 1.96%,2025-11-22,LARUE_330ML_6
megamarket,,"Bia Halida, lốc 6 lon, 330ml",Halida,bia halida loc 6 lon 330ml,Lon,6,,330ml,58000,58000,,https://online.mmvietnam.com/product/bia-halida-loc-6-lon-330ml.html,Mua từ 3 giảm 1.9%,2025-11-22,HALIDA_330ML_6
megamarket,,"Bia Tuborg, thùng 24 lon, 330ml",Tuborg,bia tuborg thung 24 lon 330ml,Thùng,24,,330ml,341000,341000,,https://online.mmvietnam.com/product/bia-tuborg-thung-24-lon-330ml.html,Mua từ 3 giảm 2%,2025-11-22,TUBORG_330ML_24
megamarket,,"Bia Tiger Crytal, lốc 6 lon, 330ml",Tiger,bia tiger crytal loc 6 lon 330ml,Lon,6,,330ml,100000,100000,,https://online.mmvietnam.com/product/bia-tiger-crystal-330ml-6lon.html,,2025-11-22,TIGER_330ML_6
megamarket,,"Bia Heineken Silver Alu, thùng 12 lon, 330ml",Heineken,bia heineken silver alu thung 12 lon 330ml,Thùng,12,,330ml,516000,475000,8%,https://online.mmvietnam.com/product/heineken-silv-beer-alu330ml-12-475324-24753241.html,,2025-11-22,HEINEKEN_330ML_12
megamarket,,"Bia Budweiser 0.0, lốc 6 lon, 330ml",Budweiser,bia budweiser 0 0 loc 6 lon 330ml,Lon,6,,330ml,108000,108000,,https://online.mmvietnam.com/product/beer-budweiser-0-0-330ml-6l-474909-24749091.html,,2025-11-22,BUDWEISER_330ML_6
megamarket,,"Bia Budweiser 0.0, thùng 24 lon, 330ml",Budweiser,bia budweiser 0 0 thung 24 lon 330ml,Thùng,24,,330ml,420000,420000,,https://online.mmvietnam.com/product/beer-budweiser-0-0-330ml-24l-474907-24749077.html,,2025-11-22,BUDWEISER_330ML_24
megamarket,,"Bia Hoegaarden Rose, lốc 6 lon, 250ml",Hoegaarden,bia hoegaarden rose loc 6 lon 250ml,Lon,6,,250ml,100000,100000,,https://online.mmvietnam.com/product/beer-hoegaarden-rose250ml-6ca-474631-24746311.html,,2025-11-22,HOEGAARDEN_250ML_6
megamarket,,"Bia Hoegaarden White, lốc 6 lon, 250ml",Hoegaarden,bia hoegaarden white loc 6 lon 250ml,Lon,6,,250ml,100000,100000,,https://online.mmvietnam.com/product/beer-hoegaarden-white250ml-6ca-474579-24745796.html,,2025-11-22,HOEGAARDEN_250ML_6
megamarket,,"Bia Hoegaarden Rose, thùng 24 lon, 250ml",Hoegaarden,bia hoegaarden rose thung 24 lon 250ml,Thùng,24,,250ml,399000,399000,,https://online.mmvietnam.com/product/beer-hoegaarden-rose250ml-24ca-474578-24745789.html,,2025-11-22,HOEGAARDEN_250ML_24
